suhu,kelembaban,curah_hujan
24.4,71.0,10.15
23.7,78.0,0.0
23.7,78.0,0.0
22.7,78.0,3.4799999999999995
22.1,83.0,0.0
22.3,80.0,0.0
23.2,74.0,0.0
22.4,87.0,11.5
22.1,85.0,0.1
23.6,81.0,0.0
22.2,90.0,3.2762499999999997
22.0,87.0,0.0
22.7,80.0,0.8699999999999999
22.5,85.0,0.0
22.0,88.0,0.0
22.7,87.5232683982684,0.0
21.9,86.0,1.5
22.5,83.0,4.96
21.4,93.0,11.113249999999999
21.8,94.0,75.1
21.2,91.0,1.89
21.9,87.0,2.4
21.5,83.0,0.0
22.5,82.0,0.0
23.7,74.0,0.0
22.1,84.0,0.0
22.0,78.0,0.0
22.1,80.0,0.0
22.4,81.0,0.0
23.1,84.0,0.0
23.0,88.0,0.0
23.1,86.0,0.0
23.3,85.0,3.7733333333333334
22.8,87.0,3.8400000000000007
23.1,87.0,18.8
23.1,86.0,0.0
23.0,85.0,0.0
23.5,80.0,5.4
23.0,86.0,0.0
23.7,83.0,0.0
24.3,79.0,0.0
23.5,82.0,0.0
23.7,80.0,2.7
23.3,85.0,0.0
22.3,91.0,0.0
22.8,90.0,87.0
22.3,92.0,11.3
21.4,96.0,5.937333333333332
22.7,90.0,11.0
21.8,90.0,0.0
22.2,91.0,98.7
22.4,89.0,15.6
22.8,88.0,4.259285714285714
23.0,90.0,0.0
22.1,94.0,20.54117316017316
22.2,94.0,31.7
21.5,94.0,16.53514285714286
21.7,94.0,1.8
21.9,90.0,14.408035714285713
21.3,96.0,15.436000000000002
21.5,97.0,43.7
20.7,94.0,2.7
21.6,94.0,20.6
22.7,89.0,12.191666666666666
22.5,89.0,5.0
21.1,94.0,5.0
20.3,96.0,29.5
22.4,91.0,27.7
22.6,92.0,12.84333333333333
21.1,94.0,7.4
20.9,96.0,52.0
22.0,94.0,23.6
21.2,95.0,31.159999999999997
21.4,94.0,7.5
20.4,96.0,48.0
21.3,96.0,15.436000000000002
21.5,96.0,28.558333333333337
23.2,94.0,28.721666666666664
22.8,95.0,6.5
22.0,96.0,18.262222222222224
22.2,93.0,24.0
22.0,92.0,6.0
23.0,90.0,9.5
23.4,91.0,8.5
23.4,92.0,16.2
22.6,91.0,25.669166666666666
23.1,92.0,40.0
22.8,91.0,0.1
23.0,92.0,24.4
21.9,93.0,2.0
21.9,94.0,56.3
23.2,90.0,16.5
23.8,87.0,1.32
24.2,89.0,0.0
24.3,87.0,0.0
23.4,88.0,8.0
21.4,93.0,7.0
24.1,84.0,2.9
21.8,91.0,0.0
21.7,90.0,39.7
21.7,95.0,30.0
22.3,93.0,13.0
22.7,89.0,41.8
22.8,90.0,2.0
22.0,91.0,1.2
22.7,91.0,10.5
21.1,95.0,26.126666666666665
20.7,96.0,10.040000000000001
20.6,96.0,65.3
21.7,92.0,11.5
20.3,98.0,26.0
20.759999999999998,96.0,5.0
20.5,94.0,6.0
21.0,95.0,0.0
20.1,94.0,98.9
19.9,96.0,8.0
20.8,97.0,55.0
20.2,97.0,31.8
21.6,94.0,73.7
22.5,90.0,1.5
21.6,91.0,0.0
20.5,96.0,22.5
21.0,94.0,28.6
20.8,93.0,14.5
20.3,97.0,26.2
21.1,93.0,14.0
20.6,96.0,56.0
20.8,94.0,57.0
21.0,95.0,2.0
22.3,92.0,10.0
22.1,91.0,23.493
22.4,86.0,11.129999999999999
23.6,90.0,0.5
22.1,94.0,2.0
21.5,95.0,45.0
21.9,94.0,12.0
21.4,96.0,6.0
21.4,92.0,4.1
21.4,94.0,0.0
21.3,92.0,11.5
22.0,91.0,4.0
21.4,96.0,1.5
21.3,93.0,4.4
21.3,96.0,15.7
20.6,93.0,23.0
22.1,87.0,12.0
20.9,98.0,6.5
21.7,90.0,53.7
21.3,96.0,2.9
21.5,91.0,14.2
21.7,91.0,20.0
21.0,95.0,20.0
21.7,90.0,11.5
21.7,94.0,8.2
21.9,93.0,61.1652380952381
22.0,89.0,1.0
21.3,89.0,3.0
20.7,92.0,0.0
21.4,93.0,15.1
20.4,95.0,6.2
21.9,88.0,21.0
21.3,94.0,11.0
22.2,91.0,13.0
21.9,89.0,11.0
22.6,92.0,19.2
21.8,94.0,9.0
22.2,92.0,25.7
22.0,90.0,0.5
21.9,88.0,0.4
21.6,94.0,0.0
21.8,93.0,55.2
22.1,94.0,33.5
21.7,91.0,8.5
22.0,92.0,55.342166666666664
21.6,94.0,7.1
22.9,92.0,40.6
23.5,90.0,7.6
22.7,93.0,0.25
23.2,84.0,0.4
22.7,89.0,0.0
22.0,93.0,33.9
20.7,98.0,1.5
21.9,92.0,89.0
21.1,94.0,14.2
21.9,92.0,3.0
22.4,88.0,16.6
22.7,90.0,6.9380952380952365
21.6,96.0,5.6
20.9,95.0,4.9
22.2,91.0,22.5
22.3,88.0,19.5
21.8,92.0,5.0
20.249999999999996,98.0,18.0
20.3,96.0,29.2
20.5,95.0,12.9
21.1,94.0,1.5
20.3,95.0,54.5
21.9,90.0,52.5
21.4,91.0,56.39333333333333
22.2,91.0,0.5
21.5,93.0,1.0
21.4,94.0,15.2
22.5,90.0,5.5
22.0,88.0,0.0
21.3,88.0,0.0
22.1,87.0,9.175
22.3,78.0,0.0
21.9,79.0,0.0
20.7,90.0,2.75
21.9,93.0,40.0
22.4,92.0,21.0
20.6,98.0,3.5
21.5,95.0,89.4
21.2,93.0,41.629999999999995
21.6,90.0,3.5
21.7,93.0,0.0
23.6,86.0,0.5
21.9,96.0,0.0
21.3,92.0,55.9
22.5,90.0,1.0
22.6,88.0,19.917261904761908
21.6,96.0,5.5
22.6,88.0,25.5
22.9,90.0,28.6
22.8,83.0,9.7
22.1,84.23055708180709,0.0
22.6,88.0,23.0
23.0,88.0,0.0
23.5,89.0,29.619999999999997
23.5,88.0,0.0
22.4,95.0,0.0
22.5,94.0,5.0
23.2,92.0,12.0
22.6,91.0,31.4
22.3,94.0,23.5
22.6,95.0,19.0
22.3,96.0,34.0
22.1,96.0,51.0
22.8,89.0,3.0
21.4,92.0,0.0
22.6,94.0,0.0
22.4,94.0,1.5
21.6,94.0,25.0
22.1,92.0,42.0
22.2,88.0,0.0
24.240000000000002,84.0,19.0
22.6,89.0,0.0
22.6,94.0,32.5
20.6,94.0,0.5
20.8,92.0,5.7
22.4,89.0,15.457999999999998
22.7,88.0,1.5
23.1,86.0,0.0
22.0,94.0,16.197111111111116
21.6,94.0,25.0
21.7,96.0,6.6
21.4,94.0,7.5
22.4,88.0,45.0
21.4,92.0,1.965833333333333
22.6,90.0,16.5
23.1,86.0,0.0
22.2,88.0,2.8
21.4,89.0,0.5
21.9,90.0,0.0
22.7,90.0,0.0
22.2,90.0,12.5
21.5,94.0,16.53514285714286
22.1,92.0,13.639333333333331
21.8,88.0,0.8
22.1,92.0,0.0
21.2,92.0,7.5
22.9,88.0,15.8
22.5,90.0,0.0
21.4,90.0,67.94666666666667
21.9,90.0,0.0
21.9,80.0,0.0
22.5,85.0,0.72
22.3,89.0,4.630000000000001
22.4,84.0,0.9599999999999997
22.1,89.0,0.0
21.5,92.0,15.0
22.1,84.23055708180709,0.0
21.0,85.0,0.0
21.8,85.0,0.0
20.4,87.0,0.0
21.6,90.0,9.892916666666668
22.8,91.0,16.5
21.8,92.0,0.0
21.6,94.0,1.5
21.3,94.0,6.5
20.1,92.0,1.0
20.3,89.0,0.0
19.0,88.0,0.0
20.2,86.0,0.18
21.4,90.0,0.0
22.9,86.0,0.0
21.9,88.0,0.0
21.5,90.0,2.2
21.7,88.0,0.3
21.9,90.0,14.408035714285713
21.4,88.0,0.0
22.4,87.0,0.0
22.3,77.0,0.0
21.1,93.8,39.69833333333334
22.0,84.69677128427129,0.0
21.7,85.6772619047619,0.0
21.6,82.8849988899989,0.0
20.1,83.3,0.0
18.7,85.7,0.0
22.1,84.23055708180709,0.0
21.6,82.8849988899989,0.0
21.7,85.6772619047619,0.0
20.9,94.0,25.689999999999998
20.7,94.7,6.6466666666666665
19.3,80.8,0.0
20.1,83.3,0.0
21.4,96.0,5.937333333333332
22.1,84.23055708180709,0.0
21.6,70.91,2.67
19.7,86.94095238095238,0.0
21.5,90.6,36.55633333333334
21.4,85.69734126984127,0.0
20.7,94.7,6.6466666666666665
22.4,82.24,0.32
22.0,84.69677128427129,0.0
