TANGGAL,TAVG,RH_AVG,RR
27-07-2021,20.9,62,
28-07-2021,19.9,72,
29-07-2021,23,72,
30-07-2021,21.8,85,0
31-07-2021,22.4,75,3
1/8/2021,21.9,86,0
2/8/2021,21.1,86,
3/8/2021,22.3,88,8888
4/8/2021,23.8,77,
5/8/2021,22.8,83,0
6/8/2021,22.9,80,0
7/8/2021,21.7,83,
7/8/2021,21.7,83,
8/8/2021,22.4,87,
9/8/2021,22.2,91,78.5
10/8/2021,21.6,90,20
11/8/2021,21,79,1
12/8/2021,22.6,80,
13-08-2021,23.4,81,0.5
14-08-2021,22.6,84,0
15-08-2021,23.8,76,0
16-08-2021,22.2,87,8888
17-08-2021,21.8,82,0
18-08-2021,21.2,88,
19-08-2021,21.3,86,
20-08-2021,21.1,88,
21-08-2021,23.2,79,0
22-08-2021,21.3,86,0
23-08-2021,21,83,0
24-08-2021,20.8,81,
25-08-2021,21.7,80,
26-08-2021,21.4,78,0
27-08-2021,22.1,80,0
28-08-2021,21,88,0
29-08-2021,23.2,78,
30-08-2021,22.3,84,
31-08-2021,22.8,80,0
1/9/2021,22.8,74,0
2/9/2021,21.6,76,0
3/9/2021,21.9,77,
4/9/2021,22.2,79,0
5/9/2021,22.6,82,0
6/9/2021,22.5,82,0
7/9/2021,22.2,84,
8/9/2021,22.4,84,0.7
9/9/2021,21.8,84,
10/9/2021,24.3,76,
11/9/2021,21.9,89,0
12/9/2021,22.4,87,11.5
13-09-2021,21,94,4
14-09-2021,21.8,92,
15-09-2021,22.4,87,16.7
16-09-2021,21.6,84,0
17-09-2021,24.4,71,
18-09-2021,23.7,78,
18-09-2021,23.7,78,
19-09-2021,22.7,78,
20-09-2021,22.1,83,0
21-09-2021,22.3,80,0
22-09-2021,23.2,74,0
23-09-2021,22.4,87,11.5
24-09-2021,22.1,85,
25-09-2021,23.6,81,0
26-09-2021,22.2,90,8888
27-09-2021,22,87,0
28-09-2021,22.7,80,
29-09-2021,22.5,85,0
30-09-2021,22,88,0
1/10/2021,22.7,,0
2/10/2021,21.9,86,1.5
3/10/2021,22.5,83,
4/10/2021,21.4,93,
5/10/2021,21.8,94,75.1
6/10/2021,21.2,91,8888
7/10/2021,21.9,87,8888
8/10/2021,21.5,83,
9/10/2021,22.5,82,0
10/10/2021,23.7,74,0
11/10/2021,22.1,84,0
12/10/2021,22,78,
13-10-2021,22.1,80,
14-10-2021,22.4,81,0
15-10-2021,23.1,84,0
16-10-2021,23,88,0
17-10-2021,23.1,86,0
18-10-2021,23.3,85,
19-10-2021,22.8,87,8888
20-10-2021,23.1,87,18.8
21-10-2021,23.1,86,0
22-10-2021,23,85,0
23-10-2021,23.5,80,
24-10-2021,23,86,0
25-10-2021,23.7,83,0
26-10-2021,24.3,79,0
27-10-2021,23.5,82,0
28-10-2021,23.7,80,
29-10-2021,23.3,85,0
30-10-2021,22.3,91,0
31-10-2021,22.8,90,87
1/11/2021,22.3,92,11.3
2/11/2021,21.4,96,
3/11/2021,22.7,90,11
4/11/2021,21.8,90,0
5/11/2021,22.2,91,98.7
6/11/2021,22.4,89,15.6
7/11/2021,22.8,88,
8/11/2021,23,90,0
9/11/2021,22.1,94,
10/11/2021,22.2,94,31.7
11/11/2021,21.5,94,
12/11/2021,21.7,94,1.8
13-11-2021,21.9,90,
14-11-2021,21.3,96,
15-11-2021,21.5,97,43.7
16-11-2021,20.7,94,2.7
17-11-2021,21.6,94,20.6
18-11-2021,22.7,89,
19-11-2021,22.5,89,5
20-11-2021,21.1,94,5
21-11-2021,20.3,96,29.5
22-11-2021,22.4,91,27.7
23-11-2021,22.6,92,
24-11-2021,21.1,94,7.4
25-11-2021,20.9,96,52
26-11-2021,22,94,23.6
27-11-2021,21.2,95,
28-11-2021,21.4,94,7.5
29-11-2021,20.4,96,48
30-11-2021,21.3,96,
1/12/2021,21.5,96,
2/12/2021,23.2,94,
3/12/2021,22.8,95,6.5
4/12/2021,22,96,8888
5/12/2021,22.2,93,24
6/12/2021,22,92,6
7/12/2021,23,90,9.5
8/12/2021,23.4,91,8.5
9/12/2021,23.4,92,16.2
10/12/2021,22.6,91,
11/12/2021,23.1,92,40
12/12/2021,22.8,91,0.1
13-12-2021,23,92,24.4
14-12-2021,21.9,93,2
15-12-2021,21.9,94,56.3
16-12-2021,23.2,90,16.5
17-12-2021,23.8,87,
18-12-2021,24.2,89,0
19-12-2021,24.3,87,0
20-12-2021,23.4,88,8
21-12-2021,21.4,93,7
22-12-2021,24.1,84,2.9
23-12-2021,21.8,91,0
24-12-2021,21.7,90,39.7
25-12-2021,21.7,95,30
26-12-2021,22.3,93,13
27-12-2021,22.7,89,41.8
28-12-2021,22.8,90,2
29-12-2021,22,91,1.2
30-12-2021,22.7,91,10.5
31-12-2021,21.1,95,
1/1/2022,20.7,96,
2/1/2022,20.6,96,65.3
3/1/2022,21.7,92,11.5
4/1/2022,20.3,98,26
5/1/2022,,96,5
6/1/2022,20.5,94,6
7/1/2022,21,95,0
8/1/2022,20.1,94,98.9
9/1/2022,19.9,96,8
10/1/2022,20.8,97,55
11/1/2022,20.2,97,31.8
12/1/2022,21.6,94,73.7
13-01-2022,22.5,90,1.5
14-01-2022,21.6,91,0
15-01-2022,20.5,96,22.5
16-01-2022,21,94,28.6
17-01-2022,20.8,93,14.5
18-01-2022,20.3,97,26.2
19-01-2022,21.1,93,14
20-01-2022,20.6,96,56
21-01-2022,20.8,94,57
22-01-2022,21,95,2
23-01-2022,22.3,92,10
24-01-2022,22.1,91,8888
25-01-2022,22.4,86,
26-01-2022,23.6,90,0.5
27-01-2022,22.1,94,2
28-01-2022,21.5,95,45
29-01-2022,21.9,94,12
30-01-2022,21.4,96,6
31-01-2022,21.4,92,4.1
1/2/2022,21.4,94,0
2/2/2022,21.3,92,11.5
3/2/2022,22,91,4
4/2/2022,21.4,96,1.5
5/2/2022,21.3,93,4.4
6/2/2022,21.3,96,15.7
7/2/2022,20.6,93,23
8/2/2022,22.1,87,12
9/2/2022,20.9,98,6.5
10/2/2022,21.7,90,53.7
11/2/2022,21.3,96,2.9
12/2/2022,21.5,91,14.2
13-02-2022,21.7,91,20
18-02-2022,21,95,20
19-02-2022,21.7,90,11.5
20-02-2022,21.7,94,8.2
21-02-2022,21.9,93,8888
22-02-2022,22,89,1
23-02-2022,21.3,89,3
24-02-2022,20.7,92,0
25-02-2022,21.4,93,15.1
26-02-2022,20.4,95,6.2
27-02-2022,21.9,88,21
28-02-2022,21.3,94,11
1/3/2022,22.2,91,13
2/3/2022,21.9,89,11
3/3/2022,22.6,92,19.2
4/3/2022,21.8,94,9
5/3/2022,22.2,92,25.7
6/3/2022,22,90,0.5
7/3/2022,21.9,88,0.4
8/3/2022,21.6,94,0
9/3/2022,21.8,93,55.2
10/3/2022,22.1,94,33.5
11/3/2022,21.7,91,8.5
12/3/2022,22,92,
13-03-2022,21.6,94,7.1
14-03-2022,22.9,92,40.6
15-03-2022,23.5,90,7.6
16-03-2022,22.7,93,8888
17-03-2022,23.2,84,8888
18-03-2022,22.7,89,0
19-03-2022,22,93,33.9
20-03-2022,20.7,98,1.5
21-03-2022,21.9,92,89
22-03-2022,21.1,94,14.2
23-03-2022,21.9,92,3
24-03-2022,22.4,88,16.6
25-03-2022,22.7,90,8888
26-03-2022,21.6,96,5.6
27-03-2022,20.9,95,4.9
28-03-2022,22.2,91,22.5
29-03-2022,22.3,88,19.5
30-03-2022,21.8,92,5
31-03-2022,,98,18
1/4/2022,20.3,96,
2/4/2022,20.5,95,12.9
3/4/2022,21.1,94,1.5
4/4/2022,20.3,95,54.5
5/4/2022,21.9,90,52.5
6/4/2022,21.4,91,
7/4/2022,22.2,91,0.5
8/4/2022,21.5,93,1
9/4/2022,21.4,94,15.2
10/4/2022,22.5,90,5.5
11/4/2022,22,88,
12/4/2022,21.3,88,0
13-04-2022,22.1,87,8888
14-04-2022,22.3,78,0
15-04-2022,21.9,79,0
16-04-2022,20.7,90,
17-04-2022,21.9,93,40
18-04-2022,22.4,92,21
19-04-2022,20.6,98,3.5
20-04-2022,21.5,95,89.4
21-04-2022,21.2,93,8888
22-04-2022,21.6,90,3.5
23-04-2022,21.7,93,0
24-04-2022,23.6,86,0.5
25-04-2022,21.9,96,0
26-04-2022,21.3,92,55.9
27-04-2022,22.5,90,1
28-04-2022,22.6,88,8888
29-04-2022,21.6,96,5.5
30-04-2022,22.6,88,25.5
1/5/2022,22.9,90,28.6
2/5/2022,22.8,83,8888
3/5/2022,,,
4/5/2022,22.6,88,23
5/5/2022,23,88,0
6/5/2022,23.5,89,
7/5/2022,23.5,88,0
8/5/2022,22.4,95,0
9/5/2022,22.5,94,5
10/5/2022,23.2,92,12
11/5/2022,22.6,91,31.4
12/5/2022,22.3,94,23.5
13-05-2022,22.6,95,19
14-05-2022,22.3,96,34
15-05-2022,22.1,96,51
16-05-2022,22.8,89,3
17-05-2022,21.4,92,0
18-05-2022,22.6,94,0
19-05-2022,22.4,94,1.5
20-05-2022,21.6,94,25
21-05-2022,22.1,92,42
22-05-2022,22.2,88,0
23-05-2022,,84,19
24-05-2022,22.6,89,0
25-05-2022,22.6,94,32.5
26-05-2022,20.6,94,0.5
27-05-2022,20.8,92,5.7
28-05-2022,22.4,89,8888
29-05-2022,22.7,88,1.5
30-05-2022,23.1,86,0
31-05-2022,22,94,
1/6/2022,21.6,94,25
2/6/2022,21.7,96,6.6
3/6/2022,21.4,94,7.5
4/6/2022,22.4,88,45
5/6/2022,21.4,92,
6/6/2022,22.6,90,16.5
7/6/2022,23.1,86,0
8/6/2022,22.2,88,2.8
9/6/2022,21.4,89,0.5
10/6/2022,21.9,90,0
11/6/2022,22.7,90,0
